,title,genre,budget,runtime,year,month,revenue
1757,Lake Placid,Horror,27000000.0,82.0,1999,7,56870414
1976,Muppets from Space,Fantasy,24000000.0,87.0,1999,7,16290976
208,The 13th Warrior,Adventure,160000000.0,102.0,1999,8,61698899
618,Mystery Men,Adventure,68000000.0,121.0,1999,8,29762011
829,Bowfinger,Comedy,55000000.0,97.0,1999,8,0
977,The Iron Giant,Adventure,70000000.0,86.0,1999,8,23159305
1025,The Thomas Crown Affair,Drama,48000000.0,113.0,1999,8,124305181
1145,The Sixth Sense,,40000000.0,107.0,1999,8,672806292
1225,Mickey Blue Eyes,Comedy,,102.0,1999,8,0
1270,Universal Soldier: The Return,Action,45000000.0,82.0,1999,8,10667893
1313,The Ninth Gate,Horror,38000000.0,133.0,1999,8,58401898
1473,The Astronaut's Wife,Drama,75000000.0,109.0,1999,8,19598588
1925,Brokedown Palace,Drama,25000000.0,100.0,1999,8,13000000
964,For Love of the Game,Drama,50000000.0,137.0,1999,9,0
1012,Three Kings,Action,75000000.0,114.0,1999,9,108000000
1151,Double Jeopardy,Crime,70000000.0,105.0,1999,9,177841558
1307,The Hurricane,Drama,50000000.0,146.0,1999,9,73956241
1339,Blue Streak,Action,65000000.0,93.0,1999,9,117758500
1469,Chill Factor,Action,70000000.0,101.0,1999,9,11263966
1501,Stigmata,Horror,29000000.0,103.0,1999,9,50041732
1692,Mumford,Comedy,,112.0,1999,9,0
343,Toy Story 2,Animation,90000000.0,92.0,1999,10,497366869
620,The Insider,Drama,90000000.0,157.0,1999,10,60289912
662,Fight Club,Drama,63000000.0,139.0,1999,10,100853753
670,Random Hearts,Drama,64000000.0,133.0,1999,10,74608570
971,The Story of Us,Comedy,50000000.0,95.0,1999,10,58900031
985,The Messenger: The Story of Joan of Arc,Adventure,60000000.0,148.0,1999,10,66976317
1516,Bringing Out the Dead,Drama,32000000.0,121.0,1999,10,0
1732,"Mystery, Alaska",Drama,28000000.0,119.0,1999,10,8888143
170,The World Is Not Enough,Adventure,135000000.0,128.0,1999,11,361832400
296,End of Days,Action,100000000.0,121.0,1999,11,211989043
1009,The Bone Collector,Drama,73000000.0,118.0,1999,11,151493655
1461,Ride with the Devil,Drama,38000000.0,138.0,1999,11,635096
1772,Flawless,Comedy,,112.0,1999,11,4488529
268,Stuart Little,Animation,133000000.0,84.0,1999,12,300135367
375,Bicentennial Man,Comedy,100000000.0,131.0,1999,12,93700000
465,Fantasia 2000,Animation,80000000.0,74.0,1999,12,90874570
536,Anna and the King,Drama,75000000.0,148.0,1999,12,0
690,The Green Mile,Fantasy,60000000.0,189.0,1999,12,284600000
712,Any Given Sunday,Drama,55000000.0,163.0,1999,12,100230832
891,Man on the Moon,Comedy,82000000.0,118.0,1999,12,47434430
1053,Galaxy Quest,Comedy,45000000.0,102.0,1999,12,90683916
1170,The Talented Mr. Ripley,Thriller,40000000.0,139.0,1999,12,128798265
1333,Magnolia,Drama,37000000.0,188.0,1999,12,48451803
1350,Snow Falling on Cedars,Drama,,127.0,1999,12,0
1522,Cradle Will Rock,Drama,,132.0,1999,12,0
1912,Angela's Ashes,Drama,25.0,145.0,1999,12,13
1974,"Girl, Interrupted",Drama,40000000.0,127.0,1999,12,0
1979,Play It to the Bone,Comedy,24000000.0,124.0,1999,12,8434146
775,Supernova,Horror,90000000.0,91.0,2000,1,14828081
1353,Isn't She Great,Drama,36000000.0,95.0,2000,1,3003296
961,The Beach,Drama,40000000.0,119.0,2000,2,144056873
1164,Scream 3,Horror,40000000.0,116.0,2000,2,161834276
1223,Hanging Up,Comedy,40000000.0,94.0,2000,2,36037909
1346,Reindeer Games,Thriller,42000000.0,124.0,2000,2,32168970
1427,Wonder Boys,Comedy,35000000.0,111.0,2000,2,0
1964,The Whole Nine Yards,Comedy,41300000.0,98.0,2000,2,106371651
1995,Pitch Black,Thriller,23000000.0,108.0,2000,2,53187659
214,The Perfect Storm,Drama,120000000.0,130.0,2000,3,325756637
324,The Road to El Dorado,Adventure,95000000.0,89.0,2000,3,76432727
373,Mission to Mars,Science Fiction,90000000.0,114.0,2000,3,60874615
909,Erin Brockovich,Drama,52000000.0,131.0,2000,3,256271286
999,What Planet Are You From?,Comedy,60000000.0,105.0,2000,3,0
1837,Romeo Must Die,Action,25000000.0,115.0,2000,3,91036760
1904,The Next Best Thing,Comedy,25000000.0,108.0,2000,3,24362772
1993,Final Destination,Horror,23000000.0,98.0,2000,3,53302314
680,U-571,Action,62000000.0,116.0,2000,4,127666415
793,The Flintstones in Viva Rock Vegas,Science Fiction,83000000.0,90.0,2000,4,59468275
1113,28 Days,Comedy,43000000.0,103.0,2000,4,0
1535,Frequency,Crime,31000000.0,118.0,2000,4,68106245
1685,Keeping the Faith,Comedy,30000000.0,127.0,2000,4,37036004
1969,Return to Me,Romance,24000000.0,115.0,2000,4,36609995
1978,Ready to Rumble,Action,24000000.0,107.0,2000,4,12372410
194,Dinosaur,Animation,127500000.0,82.0,2000,5,354248063
213,Mission: Impossible II,Adventure,125000000.0,123.0,2000,5,546388105
274,Gladiator,Action,103000000.0,155.0,2000,5,457640427
480,Battlefield Earth,Action,44000000.0,118.0,2000,5,21400000
833,Shanghai Noon,Adventure,55000000.0,110.0,2000,5,56932305
1474,I Dreamed of Africa,Romance,34000000.0,114.0,2000,5,0
1480,Big Momma's House,Crime,30000000.0,98.0,2000,5,173959438
246,The Patriot,Drama,110000000.0,165.0,2000,6,215294342
273,Gone in Sixty Seconds,Action,90000000.0,118.0,2000,6,237202299
503,The Adventures of Rocky & Bullwinkle,Action,76000000.0,88.0,2000,6,35134820
539,Titan A.E.,Animation,75000000.0,94.0,2000,6,36754634
873,Shaft,Action,46000000.0,99.0,2000,6,107196498
895,"Me, Myself & Irene",Comedy,51000000.0,116.0,2000,6,149270999
1121,Chicken Run,Animation,45000000.0,84.0,2000,6,224834564
346,What Lies Beneath,Drama,100000000.0,130.0,2000,7,155464351
413,Nutty Professor II: The Klumps,Fantasy,84000000.0,106.0,2000,7,123307945
511,X-Men,Adventure,75000000.0,104.0,2000,7,296339527
643,Space Cowboys,Action,65000000.0,130.0,2000,7,128884132
646,The Kid,Fantasy,65000000.0,104.0,2000,7,69700000
1060,Coyote Ugly,Comedy,45000000.0,100.0,2000,7,113916474
366,Hollow Man,Action,95000000.0,112.0,2000,8,190213455
948,The Replacements,Comedy,,118.0,2000,8,0
1215,Autumn in New York,Drama,65000000.0,103.0,2000,8,0
1234,The Art of War,Crime,40000000.0,117.0,2000,8,30199105
1236,Bless the Child,Drama,40000000.0,107.0,2000,8,0
1379,The Cell,Horror,33000000.0,107.0,2000,8,104155843
1790,"O Brother, Where Art Thou?",Action,26000000.0,106.0,2000,8,71868327
765,Almost Famous,Drama,60000000.0,122.0,2000,9,47383689
1485,The Watcher,,33000000.0,96.0,2000,9,0
1502,Men of Honor,Drama,32000000.0,129.0,2000,9,48814909
1545,Remember the Titans,Drama,30000000.0,113.0,2000,9,136706683
1562,Rugrats in Paris: The Movie,Adventure,30.0,78.0,2000,9,103
1971,Nurse Betty,Comedy,24000000.0,108.0,2000,9,0
393,102 Dalmatians,Comedy,85000000.0,100.0,2000,10,183611771
665,Lucky Numbers,Action,65000000.0,105.0,2000,10,0
811,Meet the Parents,Comedy,55000000.0,108.0,2000,10,330444045
1017,Bedazzled,Fantasy,48000000.0,93.0,2000,10,90383208
1226,Pay It Forward,Drama,40000000.0,122.0,2000,10,55707411
1254,Get Carter,Action,63600000.0,102.0,2000,10,19412993
1729,Lost Souls,Horror,,97.0,2000,10,0
211,How the Grinch Stole Christmas,,123000000.0,104.0,2000,11,345141403
350,Charlie's Angels,Action,92000000.0,98.0,2000,11,264105545
422,The 6th Day,Science Fiction,82000000.0,123.0,2000,11,96085477
471,Little Nicky,Comedy,85000000.0,90.0,2000,11,0
487,Red Planet,Thriller,80000000.0,106.0,2000,11,33463969
545,Unbreakable,Science Fiction,75000000.0,106.0,2000,11,248118121
764,The Legend of Bagger Vance,Fantasy,80000000.0,126.0,2000,11,39459427
289,The Emperor's New Groove,Adventure,100000000.0,78.0,2000,12,169327687
384,Cast Away,Adventure,90000000.0,143.0,2000,12,429632142
477,Thirteen Days,Drama,80000000.0,145.0,2000,12,34566746
523,Vertical Limit,Action,75000000.0,124.0,2000,12,215663859
630,What Women Want,Comedy,70000000.0,127.0,2000,12,374111707
660,Proof of Life,Action,65000000.0,135.0,2000,12,0
710,The Family Man,Comedy,60000000.0,125.0,2000,12,0
1005,Traffic,Thriller,48000000.0,147.0,2000,12,207515725
1043,Miss Congeniality,Comedy,45000000.0,111.0,2000,12,212000000
1090,All the Pretty Horses,Drama,57000000.0,117.0,2000,12,0
1112,Finding Forrester,Drama,43000000.0,136.0,2000,12,80049764
1722,Dracula 2000,Thriller,28000000.0,99.0,2000,12,33000337
1832,Chocolat,Comedy,25000000.0,121.0,2000,12,152500343
1087,The Pledge,Crime,35000000.0,123.0,2001,1,29400000
1661,Antitrust,Action,30000000.0,108.0,2001,1,18195610
1708,The Wedding Planner,Comedy,35000000.0,103.0,2001,1,94728529
1973,Double Take,Adventure,,88.0,2001,1,0
543,Monkeybone,Adventure,75000000.0,93.0,2001,2,5409517
683,3000 Miles to Graceland,Action,62000000.0,125.0,2001,2,18720175
1241,Sweet November,Drama,40000000.0,119.0,2001,2,65754228
1569,Down to Earth,Fantasy,,87.0,2001,2,0
401,Enemy at the Gates,,68000000.0,131.0,2001,3,96976270
875,Moulin Rouge!,Drama,52500000.0,127.0,2001,3,179213434
1133,15 Minutes,Action,60000000.0,120.0,2001,3,56359980
1183,The Mexican,Action,57000000.0,123.0,2001,3,147845033
1309,Heartbreakers,Crime,35000000.0,123.0,2001,3,0
1363,Spy Kids,Action,35000000.0,88.0,2001,3,147934180
1479,Exit Wounds,Action,50000000.0,101.0,2001,3,79958599
1934,Say It Isn't So,Comedy,25000000.0,95.0,2001,3,0
1996,Someone Like You...,Comedy,23000000.0,97.0,2001,3,0
272,Town & Country,Comedy,90000000.0,104.0,2001,4,10372291
315,The Mummy Returns,Adventure,98000000.0,130.0,2001,4,433013274
560,Driven,Action,94000000.0,116.0,2001,4,54744738
1260,Amélie,Comedy,10000000.0,122.0,2001,4,173921954
1274,Just Visiting,Comedy,,88.0,2001,4,0
1581,Blow,Crime,53000000.0,124.0,2001,4,83282296
1699,Along Came a Spider,Crime,60000000.0,104.0,2001,4,105178561
1831,Bridget Jones's Diary,Comedy,25000000.0,97.0,2001,4,281929795
1882,Crocodile Dundee in Los Angeles,Adventure,21150000.0,92.0,2001,4,39438674
110,Pearl Harbor,,140000000.0,183.0,2001,5,449220945
899,Shrek,Adventure,60000000.0,90.0,2001,5,484409218
1143,A Knight's Tale,Adventure,65000000.0,132.0,2001,5,117487473
1311,Angel Eyes,Drama,53000000.0,102.0,2001,5,29700000
1616,What's the Worst That Could Happen?,Action,45000000.0,94.0,2001,5,0
99,The Fast and the Furious,Action,38000000.0,106.0,2001,6,207283925
332,Lara Croft: Tomb Raider,Adventure,115000000.0,100.0,2001,6,274703340
358,Atlantis: The Lost Empire,Animation,120000000.0,95.0,2001,6,186053725
363,A.I. Artificial Intelligence,Drama,100000000.0,146.0,2001,6,235926552
468,Swordfish,Action,102000000.0,99.0,2001,6,147080413
555,Dr. Dolittle 2,Comedy,70000000.0,87.0,2001,6,176104344
168,Final Fantasy: The Spirits Within,Adventure,137000000.0,106.0,2001,7,85131830
278,Planet of the Apes,Thriller,100000000.0,119.0,2001,7,362211740
334,Jurassic Park III,Adventure,93000000.0,92.0,2001,7,368780809
613,The Score,Action,68000000.0,124.0,2001,7,71069884
701,Cats & Dogs,Comedy,60000000.0,87.0,2001,7,93375151
1014,Rat Race,Adventure,48000000.0,112.0,2001,7,85498534
1032,America's Sweethearts,Comedy,,102.0,2001,7,0
1054,Scary Movie 2,Comedy,45000000.0,83.0,2001,7,141220678
1860,Kiss of the Dragon,Action,25000000.0,98.0,2001,7,64437847
345,Rush Hour 2,Action,90000000.0,90.0,2001,8,347325802
604,Osmosis Jones,Adventure,75000000.0,95.0,2001,8,13596911
806,Captain Corelli's Mandolin,Drama,57000000.0,131.0,2001,8,62112895
1443,American Outlaws,Action,35000000.0,94.0,2001,8,13678913
1540,American Pie 2,Comedy,30000000.0,108.0,2001,8,287553595
1551,The Princess Diaries,Comedy,37000000.0,115.0,2001,8,165335153
1735,Ghosts of Mars,Action,28000000.0,98.0,2001,8,14010832
1799,Original Sin,Drama,42000000.0,118.0,2001,8,35402320
1805,The Curse of the Jade Scorpion,Comedy,,103.0,2001,8,0
936,Don't Say a Word,Thriller,50000000.0,113.0,2001,9,100020092
1239,The Musketeer,Action,40000000.0,104.0,2001,9,27053815
1315,Rock Star,,57000000.0,105.0,2001,9,16991902
1533,Hearts in Atlantis,Drama,31000000.0,101.0,2001,9,24185781
1716,Zoolander,Comedy,28000000.0,89.0,2001,9,60780981
534,Bandits,Action,75000000.0,123.0,2001,10,67631903
774,The Last Castle,Action,72000000.0,131.0,2001,10,27642707
876,Domestic Disturbance,,75000000.0,89.0,2001,10,54249294
1015,K-PAX,Drama,48000000.0,120.0,2001,10,50315140
1026,Riding in Cars with Boys,Comedy,48000000.0,132.0,2001,10,35743308
1052,Training Day,Action,45000000.0,122.0,2001,10,104876233
1063,From Hell,Horror,35000000.0,122.0,2001,10,74558115
1710,The Royal Tenenbaums,Comedy,21000000.0,110.0,2001,10,71441250
1714,Serendipity,Comedy,28000000.0,90.0,2001,10,77516304
1998,Joy Ride,,23000000.0,97.0,2001,10,36642838
197,Harry Potter and the Philosopher's Stone,Adventure,125000000.0,152.0,2001,11,976475550
231,"Monsters, Inc.",Animation,115000000.0,92.0,2001,11,562816256
372,Spy Game,Action,92000000.0,126.0,2001,11,143049560
1002,The One,Action,49000000.0,87.0,2001,11,72700000
1180,Shallow Hal,Comedy,40000000.0,114.0,2001,11,141069860
1188,Behind Enemy Lines,Action,40000000.0,106.0,2001,11,91753202
1321,Texas Rangers,Action,,110.0,2001,11,0
1402,Black Knight,Adventure,,95.0,2001,11,0
262,The Lord of the Rings: The Fellowship of the Ring,Adventure,93000000.0,178.0,2001,12,871368364
264,Ali,Drama,107000000.0,157.0,2001,12,87713825
320,Black Hawk Down,Action,92000000.0,144.0,2001,12,172989651
388,Ocean's Eleven,Thriller,85000000.0,116.0,2001,12,450717150
493,A Beautiful Mind,Drama,60000000.0,135.0,2001,12,313542341
559,The Majestic,Drama,72000000.0,152.0,2001,12,37317558
575,Vanilla Sky,Drama,68000000.0,136.0,2001,12,203388341
1016,Kate & Leopold,Comedy,,118.0,2001,12,0
1272,Impostor,Action,40000000.0,102.0,2001,12,0
1312,Joe Somebody,Comedy,38000000.0,99.0,2001,12,0
1442,The Shipping News,Drama,,111.0,2001,12,0
1730,Winged Migration,,35866397.0,98.0,2001,12,20217080
1771,The 51st State,Thriller,28.0,93.0,2001,12,14
1825,Jimmy Neutron: Boy Genius,Action,25000000.0,83.0,2001,12,80936232
863,D-Tox,Action,55000000.0,96.0,2002,1,6416302
1129,The Mothman Prophecies,Drama,32000000.0,119.0,2002,1,55157539
1193,The Count of Monte Cristo,Action,35000000.0,131.0,2002,1,75395048
1496,Snow Dogs,Adventure,33000000.0,99.0,2002,1,0
408,Collateral Damage,Action,85000000.0,108.0,2002,2,78382433
599,Hart's War,Drama,70000000.0,125.0,2002,2,32287044
601,Rollerball,Action,,98.0,2002,2,0
771,Dragonfly,Drama,60000000.0,104.0,2002,2,52322400
1338,John Q,Drama,36000000.0,116.0,2002,2,102244770
1411,Queen of the Damned,Drama,35000000.0,101.0,2002,2,45479110
466,The Time Machine,Science Fiction,80000000.0,96.0,2002,3,123729176
579,We Were Soldiers,Action,75000000.0,138.0,2002,3,114660784
631,Ice Age,Animation,59000000.0,81.0,2002,3,383257136
864,Blade II,Fantasy,54000000.0,117.0,2002,3,155010032
996,Death to Smoochy,Comedy,55000000.0,109.0,2002,3,0
1010,Panic Room,Crime,48000000.0,111.0,2002,3,196397415
1395,Resident Evil,Horror,33000000.0,100.0,2002,3,102984862
1794,Clockstoppers,Adventure,26000000.0,94.0,2002,3,38793283
715,The Scorpion King,Action,60000000.0,92.0,2002,4,165333180
968,Murder by Numbers,Crime,50000000.0,120.0,2002,4,56714147
1058,Changing Lanes,Action,45000000.0,89.0,2002,4,94935764
1097,Big Trouble,Action,40000000.0,85.0,2002,4,8493890
1115,The Sweetest Thing,Romance,43000000.0,84.0,2002,4,68696770
1127,High Crimes,Drama,42000000.0,115.0,2002,4,63781810
1258,Life or Something Like It,Comedy,40000000.0,103.0,2002,4,16872671
1756,About a Boy,Drama,27000000.0,101.0,2002,4,129000000
159,Spider-Man,Fantasy,139000000.0,121.0,2002,5,821708551
230,Star Wars: Episode II - Attack of the Clones,Adventure,120000000.0,142.0,2002,5,649398328
459,Spirit: Stallion of the Cimarron,,80000000.0,83.0,2002,5,122563539
611,The Sum of All Fears,Thriller,68000000.0,124.0,2002,5,193000000
938,Unfaithful,Thriller,50000000.0,124.0,2002,5,119137784
1033,Insomnia,Crime,46000000.0,118.0,2002,5,113714830
1308,Enough,Drama,38000000.0,114.0,2002,5,51801187
1858,Undercover Brother,Action,25000000.0,86.0,2002,5,41604473
236,Windtalkers,Drama,115000000.0,134.0,2002,6,77628265
275,Minority Report,Action,102000000.0,145.0,2002,6,358372926
414,Scooby-Doo,,84000000.0,88.0,2002,6,275650703
430,Lilo & Stitch,Animation,80000000.0,85.0,2002,6,145771527
594,Bad Company,Action,70000000.0,116.0,2002,6,65977295
694,The Bourne Identity,Action,60000000.0,119.0,2002,6,214034224
907,Mr. Deeds,Comedy,50000000.0,96.0,2002,6,171269535
1751,Divine Secrets of the Ya-Ya Sisterhood,Comedy,27000000.0,116.0,2002,6,0
150,Men in Black II,Action,140000000.0,88.0,2002,7,441818803
221,Stuart Little 2,,120000000.0,78.0,2002,7,169956806
378,K-19: The Widowmaker,Drama,100000000.0,138.0,2002,7,35168966
444,Road to Perdition,Thriller,80000000.0,117.0,2002,7,181001478
673,Austin Powers in Goldmember,Comedy,63000000.0,94.0,2002,7,296655431
746,Reign of Fire,Adventure,60000000.0,101.0,2002,7,43061982
1584,Like Mike,Comedy,30000000.0,99.0,2002,7,0
1637,Eight Legged Freaks,Action,,99.0,2002,7,0
311,The Adventures of Pluto Nash,Action,100000000.0,95.0,2002,8,7103973
564,Signs,Drama,72000000.0,106.0,2002,8,408247917
568,xXx,Action,70000000.0,124.0,2002,8,277448382
974,Blood Work,Crime,50000000.0,110.0,2002,8,26199517
1265,FearDotCom,Horror,40000000.0,101.0,2002,8,18902015
1302,Spy Kids 2: The Island of Lost Dreams,Action,38000000.0,100.0,2002,8,119723358
1602,Blue Crush,Adventure,25000000.0,104.0,2002,8,51842679
1689,Serving Sara,Comedy,29000000.0,100.0,2002,8,16930185
497,Red Dragon,Crime,78000000.0,124.0,2002,9,209196298
602,Ballistic: Ecks vs. Sever,Action,70000000.0,91.0,2002,9,19924033
735,The Tuxedo,Thriller,,98.0,2002,9,0
1247,City By The Sea,Crime,40000000.0,108.0,2002,9,22433915
1299,Sweet Home Alabama,Comedy,30000000.0,108.0,2002,9,180622424
1405,The Pianist,Drama,35000000.0,150.0,2002,9,120072577
1433,The Four Feathers,,35000000.0,132.0,2002,9,29882645
1681,Ripley's Game,Crime,30000000.0,110.0,2002,9,0
1908,Stealing Harvard,Action,,85.0,2002,9,0
596,I Spy,Action,70000000.0,97.0,2002,10,33561137
636,The Santa Clause 2,Fantasy,65000000.0,104.0,2002,10,172855065
1895,Punch-Drunk Love,Comedy,25000000.0,95.0,2002,10,17000000
1924,Abandon,Drama,25000000.0,99.0,2002,10,10719357
147,Die Another Day,Adventure,140000000.0,133.0,2002,11,431971116
276,Harry Potter and the Chamber of Secrets,Adventure,100000000.0,161.0,2002,11,876688482
305,Treasure Planet,Adventure,140000000.0,95.0,2002,11,109578115
1141,8 Mile,Drama,41000000.0,110.0,2002,11,215000000
1273,Extreme Ops,Action,40000000.0,93.0,2002,11,10959475
1458,Femme Fatale,Thriller,35000000.0,114.0,2002,11,16838910
1897,Half Past Dead,Crime,13000000.0,98.0,2002,11,0
316,Gangs of New York,Drama,100000000.0,167.0,2002,12,193772504
330,The Lord of the Rings: The Two Towers,Adventure,79000000.0,179.0,2002,12,926287400
703,Two Weeks Notice,Romance,60000000.0,101.0,2002,12,93354918
755,Star Trek: Nemesis,Science Fiction,60000000.0,117.0,2002,12,67312826
760,Analyze That,Comedy,60000000.0,96.0,2002,12,55003135
822,Maid in Manhattan,Comedy,55000000.0,105.0,2002,12,154906693
883,Catch Me If You Can,Drama,52000000.0,141.0,2002,12,352114312
1136,Hero,Drama,31000000.0,99.0,2002,12,177394432
1538,Chicago,Action,45000000.0,113.0,2002,12,306776732
1566,About Schmidt,Drama,30000000.0,125.0,2002,12,105834556
1688,Confessions of a Dangerous Mind,Comedy,30000000.0,113.0,2002,12,33013805
1856,The Wild Thornberrys Movie,Animation,35000000.0,85.0,2002,12,0
1869,The Hours,Drama,25000000.0,114.0,2002,12,41597830
721,Kangaroo Jack,Comedy,,89.0,2003,1,0
1355,Head of State,Comedy,,95.0,2003,1,0
1789,Final Destination 2,Horror,26000000.0,90.0,2003,1,90426405
855,Gods and Generals,Drama,56000000.0,214.0,2003,2,12923936
910,How to Lose a Guy in 10 Days,Comedy,50000000.0,116.0,2003,2,177371441
933,Shanghai Knights,Action,50000000.0,115.0,2003,2,88323487
980,The Life of David Gale,Drama,50000000.0,130.0,2003,2,38955598
1868,Cradle 2 the Grave,Action,25000000.0,101.0,2003,2,56489558
1966,Old School,Comedy,24000000.0,91.0,2003,2,87055349
412,The Core,Action,60000000.0,136.0,2003,3,74208267
529,Tears of the Sun,Action,70000000.0,121.0,2003,3,85632458
632,Dreamcatcher,Drama,68000000.0,136.0,2003,3,75715436
844,The Hunted,Drama,55000000.0,94.0,2003,3,34234008
894,Bulletproof Monk,Action,52000000.0,104.0,2003,3,0
1848,Agent Cody Banks,Action,28000000.0,102.0,2003,3,58795814
1865,What a Girl Wants,Comedy,,105.0,2003,3,0
203,X2,Adventure,110000000.0,133.0,2003,4,407711549
973,Basic,Action,50000000.0,98.0,2003,4,42792561
1077,Johnny English,Adventure,40000000.0,88.0,2003,4,160583018
1347,A Man Apart,Action,36000000.0,109.0,2003,4,44350926
1666,The Good Thief,Crime,,108.0,2003,4,0
1711,Identity,,30000000.0,90.0,2003,4,90259536
125,The Matrix Reloaded,Adventure,150000000.0,138.0,2003,5,738599701
328,Finding Nemo,Animation,94000000.0,100.0,2003,5,940335536
423,Bruce Almighty,Fantasy,80000000.0,101.0,2003,5,484572835
699,Daddy Day Care,Comedy,60000000.0,92.0,2003,5,164433867
702,The Italian Job,Action,60000000.0,110.0,2003,5,176070171
165,Hulk,Drama,137000000.0,138.0,2003,6,245360480
219,Charlie's Angels: Full Throttle,Action,120000000.0,106.0,2003,6,259175788
500,2 Fast 2 Furious,Action,76000000.0,107.0,2003,6,236350661
540,Hollywood Homicide,Action,75000000.0,116.0,2003,6,51142659
1621,Dumb and Dumberer: When Harry Met Lloyd,Comedy,19000000.0,85.0,2003,6,39267515
1646,Alex & Emma,Comedy,30000000.0,96.0,2003,6,15368897
1857,Rugrats Go Wild,Animation,,84.0,2003,6,0
93,Terminator 3: Rise of the Machines,Action,200000000.0,109.0,2003,7,435000000
186,Bad Boys II,Adventure,130000000.0,147.0,2003,7,273339556
199,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,140000000.0,143.0,2003,7,655011224
369,Lara Croft Tomb Raider: The Cradle of Life,Action,95000000.0,117.0,2003,7,156505388
382,Seabiscuit,Drama,87000000.0,141.0,2003,7,148336445
505,The League of Extraordinary Gentlemen,Fantasy,78000000.0,110.0,2003,7,179265204
769,Sinbad: Legend of the Seven Seas,,60000000.0,86.0,2003,7,26288320
1155,Spy Kids 3-D: Game Over,Action,38000000.0,84.0,2003,7,197011982
1833,"Legally Blonde 2: Red, White & Blonde",Comedy,45000000.0,95.0,2003,7,124914842
574,S.W.A.T.,Action,80000000.0,117.0,2003,8,116643346
817,American Wedding,Comedy,55000000.0,103.0,2003,8,231449203
871,Gigli,Drama,54000000.0,121.0,2003,8,7266209
1144,The Medallion,Thriller,41000000.0,88.0,2003,8,0
1778,Freaky Friday,Comedy,26000000.0,97.0,2003,8,110230332
1785,Open Range,,22000000.0,139.0,2003,8,68296293
1823,Freddy vs. Jason,Horror,30000000.0,97.0,2003,8,114908830
1866,Jeepers Creepers 2,Horror,17000000.0,104.0,2003,8,63102666
402,The Rundown,Adventure,85000000.0,104.0,2003,9,80916492
756,Intolerable Cruelty,Crime,60000000.0,100.0,2003,9,119940815
1061,Love Actually,Comedy,40000000.0,135.0,2003,9,244931766
1267,Duplex,Action,40000000.0,89.0,2003,9,19322135
1449,The Order,Drama,35000000.0,102.0,2003,9,11560806
1600,Secondhand Lions,Comedy,,111.0,2003,9,0
1701,Once Upon a Time in Mexico,Action,29000000.0,102.0,2003,9,98185582
785,Beyond Borders,Drama,35000000.0,127.0,2003,10,0
828,Kill Bill: Vol. 1,Action,30000000.0,111.0,2003,10,180949000
958,Out of Time,Thriller,50000000.0,105.0,2003,10,55495563
1042,Scary Movie 3,Comedy,48000000.0,84.0,2003,10,220673217
1383,Radio,Drama,32000000.0,109.0,2003,10,52277485
1494,Elf,Comedy,32000000.0,97.0,2003,10,173398518
1556,Mystic River,Thriller,25000000.0,138.0,2003,10,156822020
123,The Matrix Revolutions,Adventure,150000000.0,129.0,2003,11,424988211
171,Master and Commander: The Far Side of the World,Adventure,150000000.0,138.0,2003,11,212011111
265,The Cat in the Hat,Comedy,,82.0,2003,11,0
364,The Haunted Mansion,Thriller,90000000.0,99.0,2003,11,182290266
481,Looney Tunes: Back in Action,Animation,80000000.0,90.0,2003,11,68514844
483,Timeline,Action,80000000.0,116.0,2003,11,19480739
1210,Gothika,Horror,40000000.0,98.0,2003,11,141591324
156,The Last Samurai,Drama,140000000.0,154.0,2003,12,456758981
329,The Lord of the Rings: The Return of the King,Adventure,94000000.0,201.0,2003,12,1118888979
438,Something's Gotta Give,Drama,80000000.0,128.0,2003,12,266728738
448,Cold Mountain,Drama,79000000.0,154.0,2003,12,173013509
583,Big Fish,Adventure,70000000.0,125.0,2003,12,122919055
648,Mona Lisa Smile,Drama,65000000.0,117.0,2003,12,0
732,Paycheck,Action,60000000.0,119.0,2003,12,96269812
846,Stuck on You,Comedy,55000000.0,118.0,2003,12,33828318
1157,Cheaper by the Dozen,Comedy,40000000.0,98.0,2003,12,190212113
1775,The Statement,Drama,,120.0,2003,12,0
998,The Big Bounce,Comedy,50000000.0,88.0,2004,1,6808550
1122,Along Came Polly,Comedy,42000000.0,90.0,2004,1,171963386
1249,Torque,Action,40000000.0,84.0,2004,1,46546197
1655,Chasing Liberty,Comedy,23000000.0,111.0,2004,1,12
1975,Win a Date with Tad Hamilton!,Comedy,17000000.0,95.0,2004,1,16980098
1985,The Bridge of San Luis Rey,Romance,,120.0,2004,1,0
515,50 First Dates,Comedy,75000000.0,99.0,2004,2,196482882
1295,Against the Ropes,Romance,39000000.0,106.0,2004,2,6614280
1706,Miracle,Drama,28000000.0,135.0,2004,2,64445708
1801,Welcome to Mooseport,Comedy,30000000.0,110.0,2004,2,14000000
1810,The Passion of the Christ,Drama,30000000.0,127.0,2004,2,611899420
1896,EuroTrip,Comedy,25000000.0,93.0,2004,2,20796847
498,Hidalgo,,100000000.0,136.0,2004,3,108103450
726,Starsky & Hutch,Comedy,60000000.0,101.0,2004,3,170268750
1203,Secret Window,Thriller,40000000.0,96.0,2004,3,92913171
1397,The Ladykillers,Comedy,,104.0,2004,3,0
